/workspace/modded-nanogpt/snapshots/033_bs32_lr0.0020.py:27: SyntaxWarning: invalid escape sequence '\s'
step:86/5100 train_loss:5.9527 train_time:7104ms step_avg:93.47ms
step:87/5100 train_loss:6.1011 train_time:7203ms step_avg:93.55ms
step:88/5100 train_loss:6.0644 train_time:7303ms step_avg:93.62ms
step:89/5100 train_loss:6.1882 train_time:7402ms step_avg:93.69ms
step:90/5100 train_loss:6.1057 train_time:7501ms step_avg:93.76ms
step:91/5100 train_loss:6.0098 train_time:7601ms step_avg:93.84ms
step:92/5100 train_loss:6.0101 train_time:7701ms step_avg:93.91ms
step:93/5100 train_loss:6.0691 train_time:7800ms step_avg:93.97ms
step:94/5100 train_loss:6.0723 train_time:7898ms step_avg:94.03ms
step:95/5100 train_loss:6.2364 train_time:7998ms step_avg:94.09ms
step:96/5100 train_loss:6.2197 train_time:8096ms step_avg:94.15ms
step:97/5100 train_loss:6.2877 train_time:8196ms step_avg:94.20ms
step:98/5100 train_loss:6.1477 train_time:8295ms step_avg:94.26ms
step:99/5100 train_loss:6.5286 train_time:8394ms step_avg:94.31ms
step:100/5100 train_loss:6.0410 train_time:8492ms step_avg:94.36ms
step:101/5100 train_loss:6.0952 train_time:8593ms step_avg:94.43ms
step:102/5100 train_loss:6.1000 train_time:8691ms step_avg:94.47ms
step:103/5100 train_loss:6.0266 train_time:8790ms step_avg:94.52ms
step:104/5100 train_loss:6.4885 train_time:8889ms step_avg:94.57ms
step:105/5100 train_loss:6.2238 train_time:8990ms step_avg:94.63ms
step:106/5100 train_loss:6.1449 train_time:9090ms step_avg:94.68ms
step:107/5100 train_loss:6.3232 train_time:9191ms step_avg:94.75ms
step:108/5100 train_loss:6.0064 train_time:9291ms step_avg:94.80ms
step:109/5100 train_loss:6.1739 train_time:9390ms step_avg:94.85ms
step:110/5100 train_loss:5.9984 train_time:9490ms step_avg:94.90ms
step:111/5100 train_loss:6.0904 train_time:9590ms step_avg:94.95ms
step:112/5100 train_loss:6.1925 train_time:9691ms step_avg:95.01ms
step:113/5100 train_loss:6.0302 train_time:9793ms step_avg:95.08ms
