/workspace/modded-nanogpt/exp/b_mom98.py:27: SyntaxWarning: invalid escape sequence '\s'
step:86/5100 train_loss:5.9328 train_time:10816ms step_avg:142.32ms
step:87/5100 train_loss:5.8384 train_time:10959ms step_avg:142.33ms
step:88/5100 train_loss:5.6061 train_time:11106ms step_avg:142.38ms
step:89/5100 train_loss:5.7517 train_time:11248ms step_avg:142.37ms
step:90/5100 train_loss:5.7487 train_time:11386ms step_avg:142.32ms
step:91/5100 train_loss:5.6634 train_time:11529ms step_avg:142.33ms
step:92/5100 train_loss:5.6886 train_time:11671ms step_avg:142.32ms
step:93/5100 train_loss:5.4678 train_time:11810ms step_avg:142.28ms
step:94/5100 train_loss:5.7637 train_time:11953ms step_avg:142.30ms
step:95/5100 train_loss:5.6403 train_time:12096ms step_avg:142.30ms
step:96/5100 train_loss:5.6747 train_time:12238ms step_avg:142.31ms
step:97/5100 train_loss:5.6112 train_time:12385ms step_avg:142.36ms
step:98/5100 train_loss:5.6061 train_time:12528ms step_avg:142.37ms
step:99/5100 train_loss:5.5239 train_time:12671ms step_avg:142.37ms
step:100/5100 train_loss:5.5084 train_time:12814ms step_avg:142.38ms
step:101/5100 train_loss:5.6728 train_time:12958ms step_avg:142.40ms
step:102/5100 train_loss:5.6596 train_time:13107ms step_avg:142.46ms
step:103/5100 train_loss:5.5755 train_time:13251ms step_avg:142.49ms
step:104/5100 train_loss:5.5219 train_time:13394ms step_avg:142.48ms
step:105/5100 train_loss:5.6395 train_time:13533ms step_avg:142.46ms
step:106/5100 train_loss:5.5533 train_time:13672ms step_avg:142.41ms
step:107/5100 train_loss:5.6370 train_time:13811ms step_avg:142.39ms
step:108/5100 train_loss:5.5333 train_time:13954ms step_avg:142.39ms
step:109/5100 train_loss:5.5818 train_time:14093ms step_avg:142.36ms
step:110/5100 train_loss:5.4096 train_time:14236ms step_avg:142.36ms
step:111/5100 train_loss:5.3754 train_time:14379ms step_avg:142.37ms
step:112/5100 train_loss:5.5465 train_time:14519ms step_avg:142.35ms
step:113/5100 train_loss:5.4918 train_time:14663ms step_avg:142.36ms
step:114/5100 train_loss:5.5226 train_time:14804ms step_avg:142.35ms
step:115/5100 train_loss:5.5703 train_time:14944ms step_avg:142.33ms
step:116/5100 train_loss:5.6331 train_time:15085ms step_avg:142.31ms
step:117/5100 train_loss:5.4625 train_time:15221ms step_avg:142.25ms
step:118/5100 train_loss:5.3825 train_time:15366ms step_avg:142.28ms
step:119/5100 train_loss:5.4200 train_time:15511ms step_avg:142.30ms
step:120/5100 train_loss:5.5573 train_time:15663ms step_avg:142.39ms
step:121/5100 train_loss:5.4433 train_time:15807ms step_avg:142.41ms
step:122/5100 train_loss:5.4404 train_time:15946ms step_avg:142.38ms
step:123/5100 train_loss:5.4179 train_time:16086ms step_avg:142.36ms
step:124/5100 train_loss:5.7566 train_time:16225ms step_avg:142.33ms
step:125/5100 train_loss:5.3824 train_time:16369ms step_avg:142.34ms
step:126/5100 train_loss:5.2363 train_time:16511ms step_avg:142.34ms
step:127/5100 train_loss:5.3749 train_time:16653ms step_avg:142.34ms
step:128/5100 train_loss:5.4205 train_time:16790ms step_avg:142.29ms
step:129/5100 train_loss:5.4886 train_time:16934ms step_avg:142.30ms
step:130/5100 train_loss:5.4574 train_time:17077ms step_avg:142.31ms
step:131/5100 train_loss:5.3643 train_time:17222ms step_avg:142.33ms
step:132/5100 train_loss:5.3546 train_time:17367ms step_avg:142.35ms
step:133/5100 train_loss:5.3936 train_time:17506ms step_avg:142.33ms
step:134/5100 train_loss:5.3984 train_time:17647ms step_avg:142.31ms
step:135/5100 train_loss:5.3573 train_time:17788ms step_avg:142.31ms
step:136/5100 train_loss:5.4049 train_time:17932ms step_avg:142.32ms
step:137/5100 train_loss:5.3758 train_time:18075ms step_avg:142.32ms
step:138/5100 train_loss:5.5335 train_time:18219ms step_avg:142.33ms
step:139/5100 train_loss:5.4358 train_time:18363ms step_avg:142.35ms
step:140/5100 train_loss:5.5048 train_time:18507ms step_avg:142.36ms
step:141/5100 train_loss:5.2819 train_time:18649ms step_avg:142.36ms
step:142/5100 train_loss:5.3903 train_time:18788ms step_avg:142.34ms
step:143/5100 train_loss:5.2436 train_time:18931ms step_avg:142.34ms
step:144/5100 train_loss:5.3906 train_time:19074ms step_avg:142.34ms
step:145/5100 train_loss:5.3384 train_time:19215ms step_avg:142.33ms
step:146/5100 train_loss:5.4792 train_time:19355ms step_avg:142.32ms
step:147/5100 train_loss:5.4956 train_time:19498ms step_avg:142.32ms
step:148/5100 train_loss:5.3453 train_time:19647ms step_avg:142.37ms
step:149/5100 train_loss:5.1724 train_time:19789ms step_avg:142.37ms
step:150/5100 train_loss:5.2811 train_time:19930ms step_avg:142.36ms
step:151/5100 train_loss:5.2538 train_time:20071ms step_avg:142.34ms
step:152/5100 train_loss:5.3353 train_time:20213ms step_avg:142.35ms
step:153/5100 train_loss:5.4259 train_time:20358ms step_avg:142.36ms
step:154/5100 train_loss:5.3050 train_time:20502ms step_avg:142.37ms
step:155/5100 train_loss:5.2284 train_time:20651ms step_avg:142.42ms
step:156/5100 train_loss:5.3860 train_time:20789ms step_avg:142.39ms
step:157/5100 train_loss:5.4558 train_time:20932ms step_avg:142.40ms
step:158/5100 train_loss:5.2340 train_time:21071ms step_avg:142.37ms
