/workspace/modded-nanogpt/exp/best.py:27: SyntaxWarning: invalid escape sequence '\s'
step:86/5100 train_loss:5.9087 train_time:7147ms step_avg:94.05ms
step:87/5100 train_loss:5.8729 train_time:7244ms step_avg:94.07ms
step:88/5100 train_loss:5.7709 train_time:7338ms step_avg:94.08ms
step:89/5100 train_loss:5.9893 train_time:7433ms step_avg:94.08ms
step:90/5100 train_loss:5.8463 train_time:7530ms step_avg:94.12ms
step:91/5100 train_loss:5.8338 train_time:7622ms step_avg:94.10ms
step:92/5100 train_loss:5.8350 train_time:7716ms step_avg:94.10ms
step:93/5100 train_loss:5.8058 train_time:7810ms step_avg:94.10ms
step:94/5100 train_loss:5.7537 train_time:7904ms step_avg:94.09ms
step:95/5100 train_loss:5.9967 train_time:7997ms step_avg:94.08ms
step:96/5100 train_loss:5.8332 train_time:8091ms step_avg:94.09ms
step:97/5100 train_loss:5.7921 train_time:8187ms step_avg:94.11ms
step:98/5100 train_loss:5.7695 train_time:8281ms step_avg:94.10ms
step:99/5100 train_loss:5.7933 train_time:8374ms step_avg:94.09ms
step:100/5100 train_loss:5.9184 train_time:8469ms step_avg:94.10ms
step:101/5100 train_loss:5.8501 train_time:8563ms step_avg:94.10ms
step:102/5100 train_loss:5.7801 train_time:8654ms step_avg:94.07ms
step:103/5100 train_loss:5.6633 train_time:8750ms step_avg:94.09ms
step:104/5100 train_loss:5.8712 train_time:8846ms step_avg:94.11ms
step:105/5100 train_loss:5.7411 train_time:8938ms step_avg:94.09ms
step:106/5100 train_loss:5.7161 train_time:9034ms step_avg:94.11ms
step:107/5100 train_loss:5.7693 train_time:9126ms step_avg:94.09ms
step:108/5100 train_loss:5.5030 train_time:9223ms step_avg:94.11ms
step:109/5100 train_loss:5.8976 train_time:9315ms step_avg:94.09ms
step:110/5100 train_loss:5.6998 train_time:9408ms step_avg:94.08ms
step:111/5100 train_loss:5.4751 train_time:9505ms step_avg:94.11ms
step:112/5100 train_loss:5.6282 train_time:9601ms step_avg:94.13ms
step:113/5100 train_loss:5.7439 train_time:9693ms step_avg:94.11ms
step:114/5100 train_loss:5.6918 train_time:9785ms step_avg:94.09ms
step:115/5100 train_loss:5.7103 train_time:9880ms step_avg:94.10ms
step:116/5100 train_loss:5.6616 train_time:9976ms step_avg:94.12ms
step:117/5100 train_loss:5.7152 train_time:10067ms step_avg:94.09ms
step:118/5100 train_loss:5.6814 train_time:10161ms step_avg:94.08ms
step:119/5100 train_loss:5.6343 train_time:10257ms step_avg:94.10ms
step:120/5100 train_loss:5.8058 train_time:10352ms step_avg:94.11ms
step:121/5100 train_loss:5.6587 train_time:10448ms step_avg:94.12ms
step:122/5100 train_loss:5.6753 train_time:10543ms step_avg:94.13ms
step:123/5100 train_loss:5.6604 train_time:10637ms step_avg:94.13ms
step:124/5100 train_loss:5.5254 train_time:10729ms step_avg:94.11ms
step:125/5100 train_loss:5.4993 train_time:10821ms step_avg:94.10ms
step:126/5100 train_loss:5.4755 train_time:10917ms step_avg:94.11ms
step:127/5100 train_loss:5.4983 train_time:11008ms step_avg:94.09ms
step:128/5100 train_loss:5.7164 train_time:11103ms step_avg:94.09ms
step:129/5100 train_loss:5.5623 train_time:11194ms step_avg:94.06ms
step:130/5100 train_loss:5.7105 train_time:11289ms step_avg:94.07ms
step:131/5100 train_loss:5.5414 train_time:11387ms step_avg:94.11ms
step:132/5100 train_loss:5.4697 train_time:11478ms step_avg:94.08ms
step:133/5100 train_loss:5.5289 train_time:11571ms step_avg:94.08ms
step:134/5100 train_loss:5.4596 train_time:11662ms step_avg:94.05ms
step:135/5100 train_loss:5.7974 train_time:11758ms step_avg:94.07ms
step:136/5100 train_loss:5.6035 train_time:11850ms step_avg:94.05ms
step:137/5100 train_loss:5.6124 train_time:11943ms step_avg:94.04ms
step:138/5100 train_loss:5.5102 train_time:12039ms step_avg:94.06ms
step:139/5100 train_loss:5.5638 train_time:12134ms step_avg:94.06ms
step:140/5100 train_loss:5.5954 train_time:12223ms step_avg:94.02ms
step:141/5100 train_loss:5.7170 train_time:12318ms step_avg:94.03ms
step:142/5100 train_loss:6.0157 train_time:12409ms step_avg:94.01ms
step:143/5100 train_loss:5.4809 train_time:12503ms step_avg:94.00ms
step:144/5100 train_loss:5.5751 train_time:12597ms step_avg:94.00ms
step:145/5100 train_loss:5.6022 train_time:12687ms step_avg:93.98ms
step:146/5100 train_loss:5.5690 train_time:12788ms step_avg:94.03ms
