/workspace/modded-nanogpt/exp/b_untie.py:27: SyntaxWarning: invalid escape sequence '\s'
step:86/5100 train_loss:6.2554 train_time:10877ms step_avg:143.11ms
step:87/5100 train_loss:6.1089 train_time:11019ms step_avg:143.11ms
step:88/5100 train_loss:5.8730 train_time:11166ms step_avg:143.16ms
step:89/5100 train_loss:5.9883 train_time:11309ms step_avg:143.15ms
step:90/5100 train_loss:6.0123 train_time:11452ms step_avg:143.16ms
step:91/5100 train_loss:5.9160 train_time:11597ms step_avg:143.17ms
step:92/5100 train_loss:5.9396 train_time:11740ms step_avg:143.17ms
step:93/5100 train_loss:5.7289 train_time:11885ms step_avg:143.19ms
step:94/5100 train_loss:6.0318 train_time:12026ms step_avg:143.17ms
step:95/5100 train_loss:5.8958 train_time:12169ms step_avg:143.16ms
step:96/5100 train_loss:5.9357 train_time:12311ms step_avg:143.15ms
step:97/5100 train_loss:5.8727 train_time:12453ms step_avg:143.14ms
step:98/5100 train_loss:5.8673 train_time:12598ms step_avg:143.16ms
step:99/5100 train_loss:5.7686 train_time:12738ms step_avg:143.12ms
step:100/5100 train_loss:5.7489 train_time:12881ms step_avg:143.13ms
step:101/5100 train_loss:5.9278 train_time:13026ms step_avg:143.14ms
step:102/5100 train_loss:5.8970 train_time:13168ms step_avg:143.13ms
step:103/5100 train_loss:5.8366 train_time:13308ms step_avg:143.10ms
step:104/5100 train_loss:5.7694 train_time:13452ms step_avg:143.11ms
step:105/5100 train_loss:5.8728 train_time:13593ms step_avg:143.09ms
step:106/5100 train_loss:5.8028 train_time:13740ms step_avg:143.12ms
step:107/5100 train_loss:5.8869 train_time:13881ms step_avg:143.10ms
step:108/5100 train_loss:5.7555 train_time:14026ms step_avg:143.12ms
step:109/5100 train_loss:5.8274 train_time:14168ms step_avg:143.11ms
step:110/5100 train_loss:5.6439 train_time:14311ms step_avg:143.11ms
step:111/5100 train_loss:5.6385 train_time:14456ms step_avg:143.13ms
step:112/5100 train_loss:5.7914 train_time:14599ms step_avg:143.13ms
step:113/5100 train_loss:5.7155 train_time:14746ms step_avg:143.17ms
step:114/5100 train_loss:5.7502 train_time:14891ms step_avg:143.18ms
step:115/5100 train_loss:5.7780 train_time:15034ms step_avg:143.18ms
step:116/5100 train_loss:5.8483 train_time:15175ms step_avg:143.16ms
step:117/5100 train_loss:5.6826 train_time:15316ms step_avg:143.14ms
step:118/5100 train_loss:5.5905 train_time:15456ms step_avg:143.11ms
step:119/5100 train_loss:5.6553 train_time:15601ms step_avg:143.13ms
step:120/5100 train_loss:5.7891 train_time:15742ms step_avg:143.11ms
step:121/5100 train_loss:5.6321 train_time:15888ms step_avg:143.13ms
step:122/5100 train_loss:5.6490 train_time:16029ms step_avg:143.12ms
step:123/5100 train_loss:5.6162 train_time:16171ms step_avg:143.11ms
step:124/5100 train_loss:5.9978 train_time:16314ms step_avg:143.10ms
step:125/5100 train_loss:5.6014 train_time:16457ms step_avg:143.11ms
step:126/5100 train_loss:5.4348 train_time:16603ms step_avg:143.13ms
step:127/5100 train_loss:5.5927 train_time:16749ms step_avg:143.16ms
step:128/5100 train_loss:5.6251 train_time:16892ms step_avg:143.15ms
step:129/5100 train_loss:5.6969 train_time:17034ms step_avg:143.14ms
step:130/5100 train_loss:5.6658 train_time:17176ms step_avg:143.13ms
step:131/5100 train_loss:5.5832 train_time:17315ms step_avg:143.10ms
step:132/5100 train_loss:5.5512 train_time:17463ms step_avg:143.14ms
step:133/5100 train_loss:5.5921 train_time:17608ms step_avg:143.16ms
step:134/5100 train_loss:5.6154 train_time:17751ms step_avg:143.15ms
step:135/5100 train_loss:5.5348 train_time:17893ms step_avg:143.14ms
